Gene	Name	Description	Fold Change	Adjusted p-values	Base Mean	log2FoldChange
PA0110		hypothetical protein	-7.26	0.0003828708	63.68	-2.86
PA0111		hypothetical protein	-15.56	9.00E-06	33.48	-3.96
PA0112		hypothetical protein	-8.52	7.93E-05	33.76	-3.09
PA0113		probable cytochrome c oxidase assembly factor	-11.35	3.07E-05	40.87	-3.50
PA0114	senC	SenC	-2.99	1.57E-12	216.21	-1.58
PA0117		probable short chain dehydrogenase	1.79	0.0019474774	92.20	0.84
PA0118		hypothetical protein	-2.04	0.0003155196	59.40	-1.03
PA0120		probable transcriptional regulator	-2.11	0.0002495409	81.62	-1.08
PA0122	rahU	rahU	-12.40	4.92E-20	2633.29	-3.63
PA0123		probable transcriptional regulator	2.38	3.12E-11	210.99	1.25
PA0124		hypothetical protein	3.78	3.98E-18	131.03	1.92
PA0125		hypothetical protein	3.31	1.08E-11	81.99	1.72
PA0126		hypothetical protein	1.99	0.0081732244	594.07	1.00
PA0127		hypothetical protein	-1.66	0.0032949981	55.39	-0.73
PA0134		probable guanine deaminase	-2.06	8.38E-08	94.78	-1.04
PA0136		probable ATP-binding component of ABC transporter	1.54	0.0494290549	36.94	0.62
PA0139	ahpC	alkyl hydroperoxide reductase subunit C	-3.98	2.29E-15	4575.69	-1.99
PA0143	nuh	purine nucleosidase Nuh	-6.19	4.93E-53	552.49	-2.63
PA0144		hypothetical protein	-2.53	4.21E-09	92.04	-1.34
PA0147		probable oxidoreductase	-3.39	2.76E-12	63.31	-1.76
PA0149		probable sigma-70 factor, ECF subfamily	3.78	2.46E-05	112.59	1.92
PA0150		anti-sigma factor	3.86	1.05E-09	140.68	1.95
PA0151		probable TonB-dependent receptor	2.07	0.0086293623	222.61	1.05
PA0158	triC	Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC	-2.54	5.07E-10	785.03	-1.35
PA0159		probable transcriptional regulator	-1.66	1.69E-08	229.04	-0.73
PA0161		hypothetical protein	2.15	0.0058621133	64.55	1.11
PA0162	opdC	histidine porin OpdC	5.91	6.04E-26	428.40	2.56
PA0164		probable gamma-glutamyltranspeptidase	1.87	9.91E-05	91.86	0.91
PA0165		hypothetical protein	31.57	1.19E-57	1060.08	4.98
PA0166		probable transporter	3.72	0.0021346105	13.76	1.90
PA0167		probable transcriptional regulator	-2.62	5.51E-07	225.47	-1.39
PA0168		conserved hypothetical protein	-3.13	6.98E-08	94.99	-1.65
PA0172	siaA	SiaA	2.09	0.0004224564	392.52	1.06
PA0173		probable methylesterase	-8.64	8.35E-06	24.94	-3.11
PA0174		conserved hypothetical protein	-46.01	9.75E-07	17.68	-5.52
PA0175		probable chemotaxis protein methyltransferase	-25.54	8.21E-12	73.78	-4.67
PA0176	aer2	aerotaxis transducer Aer2	-10.82	1.29E-10	372.25	-3.44
PA0177		probable purine-binding chemotaxis protein	-7.62	2.59E-08	73.34	-2.93
PA0178		probable two-component sensor	-5.97	2.20E-08	260.49	-2.58
PA0179		probable two-component response regulator	-5.61	3.13E-08	272.94	-2.49
PA0180	cttP	chemotactic transducer for trichloroethylene [positive chemotaxis], CttP	-6.05	3.90E-14	461.74	-2.60
PA0182		probable short-chain dehydrogenase	-2.15	0.0004628177	32.02	-1.10
PA0184		probable ATP-binding component of ABC transporter	2.44	0.0118492593	15.00	1.29
PA0185		probable permease of ABC transporter	1.72	0.0352891612	25.47	0.78
PA0187		hypothetical protein	-6.47	6.12E-20	50.34	-2.69
PA0188		hypothetical protein	-3.81	2.61E-12	35.89	-1.93
PA0193		hypothetical protein	-5.02	0.0014468974	9.39	-2.33
PA0194		hypothetical protein	-2.99	0.0084891653	9.50	-1.58
PA0195	pntAA	putative NAD(P) transhydrogenase, subunit alpha part 1	-3.52	5.75E-06	393.39	-1.81
PA0195.1	pntAB	putative NAD(P) transhydrogenase, subunit alpha part 2	-2.77	0.0008713154	78.54	-1.47
PA0196	pntB	pyridine nucleotide transhydrogenase, beta subunit	-1.97	0.0366229321	295.71	-0.98
PA0198	exbB1	transport protein ExbB	-2.92	0.0209946574	7.14	-1.55
PA0199	exbD1	transport protein ExbD	-2.46	0.0426631007	6.69	-1.30
PA0201		hypothetical protein	3.89	0.0251339009	109.10	1.96
PA0206		probable ATP-binding component of ABC transporter	1.90	0.0216066499	33.67	0.93
PA0207		probable transcriptional regulator	-1.72	0.0326591421	47.49	-0.78
PA0208	mdcA	malonate decarboxylase alpha subunit	-1.57	0.0350295581	40.24	-0.65
PA0218		probable transcriptional regulator	-1.53	0.0065863358	88.79	-0.61
PA0221		probable aminotransferase	-3.73	0.0002861005	17.36	-1.90
PA0224		probable aldolase	-2.37	0.0024171634	14.63	-1.24
PA0225		probable transcriptional regulator	-1.64	0.0066163439	122.78	-0.71
PA0227		probable CoA transferase, subunit B	1.97	0.0299583845	24.52	0.98
PA0229	pcaT	dicarboxylic acid transporter PcaT	-5.95	1.35E-08	23.63	-2.57
PA0231	pcaD	beta-ketoadipate enol-lactone hydrolase	-2.55	6.11E-07	59.96	-1.35
PA0232	pcaC	gamma-carboxymuconolactone decarboxylase	-3.97	3.76E-14	52.30	-1.99
PA0235	pcaK	4-hydroxybenzoate transporter PcaK	3.08	0.0035872334	24.89	1.62
PA0239		hypothetical protein	-1.93	0.0015701404	39.62	-0.95
PA0241		probable major facilitator superfamily (MFS) transporter	2.84	0.0168922845	14.78	1.51
PA0247	pobA	p-hydroxybenzoate hydroxylase	2.40	0.015797918	24.74	1.26
PA0248		probable transcriptional regulator	-2.10	1.19E-05	100.36	-1.07
PA0249		probable acetyltransferase	-1.97	0.0005281633	105.01	-0.98
PA0250		conserved hypothetical protein	-3.41	4.27E-08	184.15	-1.77
PA0252		hypothetical protein	2.42	0.0010940479	45.65	1.28
PA0255		conserved hypothetical protein	-1.59	0.003110669	130.56	-0.67
PA0256		hypothetical protein	-7.25	1.33E-16	161.60	-2.86
PA0258		hypothetical protein	-3.54	2.70E-06	46.94	-1.82
PA0259	tli3	Tli3	-2.34	5.86E-25	483.00	-1.23
PA0260	tle3	Tle3	-2.51	1.52E-11	371.62	-1.33
PA0262	vgrG2b	VgrG2b	-2.09	0.0008785667	232.71	-1.07
PA0266	davT	delta-aminovalerate aminotransferase	-2.33	0.0058907883	1731.81	-1.22
PA0269		conserved hypothetical protein	-2.20	1.75E-05	87.71	-1.14
PA0270		hypothetical protein	-1.97	0.0001291951	70.89	-0.98
PA0271		hypothetical protein	-2.53	2.09E-07	60.23	-1.34
PA0275		probable transcriptional regulator	-2.19	7.95E-09	90.16	-1.13
PA0276		hypothetical protein	-1.75	0.00626798	27.49	-0.81
PA0277		conserved hypothetical protein	11.54	5.02E-21	1760.18	3.53
PA0285		conserved hypothetical protein	2.28	1.91E-10	469.25	1.19
PA0289	gpuR	transcriptional activator GpuR	-2.50	5.59E-10	83.53	-1.32
PA0290		hypothetical protein	-3.69	5.85E-21	102.31	-1.88
PA0294	aguR	transcriptional regulator AguR	-1.85	0.0040499661	60.85	-0.89
PA0295		probable periplasmic polyamine binding protein	-2.20	8.50E-06	178.67	-1.14
PA0296	spuI	Glutamylpolyamine synthetase	-1.70	0.0012415445	1358.86	-0.76
PA0299	spuC	Polyamine:pyruvate transaminase	-2.41	0.0055333916	1567.29	-1.27
PA0300	spuD	polyamine transport protein	-4.22	4.20E-10	2540.21	-2.08
PA0303	spuG	polyamine transport protein PotH	-2.57	6.23E-20	432.54	-1.36
PA0306		probable transcriptional regulator	-3.24	1.20E-08	49.60	-1.69
PA0306.1		Uncharacterized protein	-9.71	9.32E-25	873.14	-3.28
PA0310		hypothetical protein	2.36	4.28E-09	111.67	1.24
PA0311		hypothetical protein	2.09	0.0439590536	12.48	1.06
PA0314		L-cysteine transporter of ABC system FliY	-1.60	0.0034359473	374.28	-0.68
PA0315		hypothetical protein	-8.59	1.84E-15	1542.74	-3.10
PA0316	serA	D-3-phosphoglycerate dehydrogenase	1.52	0.0375462332	2478.35	0.61
PA0321		acetylpolyamine amidohydrolase	-2.71	0.0115559702	18.10	-1.44
PA0323		probable binding protein component of ABC transporter	-1.90	0.0424675878	21.84	-0.93
PA0329		conserved hypothetical protein	-4.29	3.64E-07	839.82	-2.10
PA0330	rpiA	ribose 5-phosphate isomerase	2.78	6.43E-33	617.56	1.47
PA0334		probable major facilitator superfamily (MFS) transporter	1.54	0.0077594446	94.23	0.63
PA0340		conserved hypothetical protein	1.82	8.72E-05	107.67	0.86
PA0342	thyA	thymidylate synthase	2.21	1.40E-08	818.95	1.15
PA0343		hypothetical protein	-1.80	5.58E-06	100.90	-0.85
PA0344		hypothetical protein	-2.21	2.91E-07	135.68	-1.14
PA0345		hypothetical protein	-2.32	7.23E-10	95.24	-1.21
PA0347	glpQ	glycerophosphoryl diester phosphodiesterase, periplasmic	-3.25	1.85E-09	34.54	-1.70
PA0348		hypothetical protein	4.44	6.20E-11	73.08	2.15
PA0349		hypothetical protein	2.96	1.43E-06	30.00	1.57
PA0350	folA	dihydrofolate reductase	1.84	9.33E-05	227.89	0.88
PA0351		conserved hypothetical protein	1.58	6.77E-05	125.93	0.66
PA0352		probable transporter	7.87	4.49E-36	487.30	2.98
PA0354		conserved hypothetical protein	1.68	2.76E-06	366.02	0.75
PA0355	pfpI	protease PfpI	-11.32	1.12E-08	96.71	-3.50
PA0356		hypothetical protein	2.33	4.98E-08	388.94	1.22
PA0358		hypothetical protein	3.46	3.76E-14	200.58	1.79
PA0359		hypothetical protein	2.79	2.10E-14	566.98	1.48
PA0360		hypothetical protein	1.59	0.0099369655	450.54	0.67
PA0361		probable gamma-glutamyltranspeptidase precursor	2.23	8.38E-15	586.64	1.15
PA0362	fdx1	ferredoxin [4Fe-4S]	2.64	7.69E-18	369.57	1.40
PA0364		probable oxidoreductase	-2.18	0.0004994294	72.13	-1.12
PA0365		hypothetical protein	-2.19	0.0025957157	43.93	-1.13
PA0366		probable aldehyde dehydrogenase	-1.66	0.0167178295	179.28	-0.73
PA0367		probable transcriptional regulator	-2.66	1.55E-10	144.09	-1.41
PA0369		Uncharacterized protein	-1.93	0.0061714599	65.79	-0.95
PA0370		conserved hypothetical protein	-1.54	0.0222563358	153.93	-0.62
PA0373	ftsY	signal recognition particle receptor FtsY	2.33	8.77E-11	1261.74	1.22
PA0374	ftsE	cell division protein FtsE	1.93	2.86E-05	553.99	0.95
PA0375	ftsX	cell division protein FtsX	1.64	0.0048453812	579.72	0.71
PA0378		probable transglycosylase	5.02	1.26E-14	184.91	2.33
PA0380		conserved hypothetical protein	2.60	1.49E-16	202.36	1.38
PA0381	thiG	thiamine biosynthesis protein, thiazole moiety	4.49	5.38E-40	1147.95	2.17
PA0382	micA	DNA mismatch repair protein MicA	4.53	1.94E-11	494.21	2.18
PA0383		conserved hypothetical protein	2.64	2.10E-07	107.46	1.40
PA0385		hypothetical protein	2.33	2.07E-08	91.22	1.22
PA0386		probable oxidase	3.11	7.83E-10	162.80	1.64
PA0392		conserved hypothetical protein	1.80	1.94E-06	522.49	0.85
PA0393	proC	pyrroline-5-carboxylate reductase	1.84	1.51E-05	490.48	0.88
PA0394		conserved hypothetical protein	1.81	0.0005453332	507.72	0.85
PA0397		probable cation efflux system protein	-2.94	1.02E-08	89.68	-1.56
PA0398		hypothetical protein	-2.58	7.65E-13	241.49	-1.37
PA0399		cystathionine beta-synthase	-4.53	1.64E-09	1772.08	-2.18
PA0400		probable cystathionine gamma-lyase	-6.12	2.67E-21	1319.20	-2.61
PA0405	algH	AlgH	1.78	6.97E-06	334.71	0.83
PA0407	gshB	glutathione synthetase	-2.71	3.19E-36	321.67	-1.44
PA0410	pilI	twitching motility protein PilI	1.68	9.93E-09	435.68	0.75
PA0413	chpA	component of chemotactic signal transduction system	-1.82	0.0024277718	2643.46	-0.87
PA0414	chpB	probable methylesterase	-2.35	0.0026752079	214.71	-1.23
PA0417	chpE	probable chemotaxis protein	2.31	0.0001034171	33.58	1.21
PA0419		conserved hypothetical protein	1.54	0.0003622334	201.21	0.62
PA0420	bioA	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	-1.58	3.80E-08	458.90	-0.66
PA0421		hypothetical protein	-1.82	1.77E-11	838.06	-0.86
PA0422		conserved hypothetical protein	1.82	0.0009020161	916.20	0.86
PA0423	pasP	PasP	-2.97	3.07E-09	7471.32	-1.57
PA0424	mexR	multidrug resistance operon repressor MexR	4.79	3.52E-22	293.96	2.26
PA0427	oprM	Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor	2.05	6.13E-22	2463.33	1.04
PA0428		probable ATP-dependent RNA helicase	2.14	1.95E-15	2725.48	1.10
PA0430	metF	5,10-methylenetetrahydrofolate reductase	2.16	2.22E-11	632.87	1.11
PA0431		hypothetical protein	2.70	3.82E-23	710.49	1.43
PA0432	sahH	S-adenosyl-L-homocysteine hydrolase	2.70	3.94E-31	4759.99	1.43
PA0436		probable transcriptional regulator	-2.46	3.42E-07	279.24	-1.30
PA0437	codA	cytosine deaminase	1.63	0.0018628081	310.16	0.70
PA0438	codB	cytosine permease	2.37	1.30E-11	173.23	1.25
PA0444		N-carbamoyl-beta-alanine amidohydrolase	1.73	0.0105176062	25.48	0.79
PA0449		hypothetical protein	-4.25	1.06E-21	340.56	-2.09
PA0450		probable phosphate transporter	2.14	7.27E-05	48.90	1.10
PA0451		conserved hypothetical protein	-2.72	0.0001879459	86.49	-1.44
PA0456		probable cold-shock protein	2.11	4.27E-05	14185.90	1.08
PA0457		hypothetical protein	1.83	4.88E-05	84.62	0.87
PA0459		probable ClpA/B protease ATP binding subunit	-26.84	2.25E-24	606.30	-4.75
PA0460		hypothetical protein	-8.54	2.20E-15	337.50	-3.09
PA0462		hypothetical protein	-3.24	2.16E-07	244.09	-1.70
PA0463	creB	two-component response regulator CreB	-1.78	4.93E-06	129.18	-0.83
PA0465	creD	inner membrane protein CreD	1.57	0.0294973072	40.13	0.65
PA0469		hypothetical protein	-2.10	8.41E-10	215.91	-1.07
PA0471	fiuR	FiuR	2.48	0.0003237797	406.23	1.31
PA0472	fiuI	FiuI	2.55	0.0016181338	384.38	1.35
PA0473		probable glutathione S-transferase	-1.70	0.018710296	189.27	-0.77
PA0477		probable transcriptional regulator	-2.39	0.0012156801	42.33	-1.25
PA0479		probable transcriptional regulator	-5.77	1.98E-12	64.28	-2.53
PA0481		hypothetical protein	2.24	1.47E-06	65.08	1.16
PA0483		probable acetyltransferase	-6.57	2.70E-08	60.27	-2.72
PA0484		conserved hypothetical protein	-8.62	7.93E-14	155.61	-3.11
PA0485		conserved hypothetical protein	2.08	7.36E-05	174.52	1.05
PA0487		probable molybdenum transport regulator	-2.07	9.47E-05	83.71	-1.05
PA0488		conserved hypothetical protein	-1.81	0.0483348003	21.25	-0.85
PA0490		hypothetical protein	-3.02	2.01E-06	44.10	-1.59
PA0491		probable transcriptional regulator	1.74	0.017121153	69.08	0.80
PA0494		probable acyl-CoA carboxylase subunit	-1.70	0.0102890707	69.26	-0.76
PA0495		hypothetical protein	-1.60	0.0048354993	117.53	-0.68
PA0496		conserved hypothetical protein	-2.08	6.59E-05	72.35	-1.06
PA0498		hypothetical protein	-2.49	0.0029667816	25.69	-1.32
PA0502		probable biotin biosynthesis protein bioH	-1.85	0.0009509046	106.76	-0.89
PA0503		probable biotin synthesis protein BioC	-2.52	8.51E-05	64.15	-1.34
PA0504	bioD	dethiobiotin synthase	-2.65	0.0010818447	34.14	-1.41
PA0505		hypothetical protein	-3.08	7.29E-19	149.80	-1.62
PA0507		probable acyl-CoA dehydrogenase	-2.54	1.83E-05	31.86	-1.35
PA0512	nirH	NirH	3.81	0.0142864603	14.33	1.93
PA0520	nirQ	regulatory protein NirQ	-3.55	2.60E-15	64.58	-1.83
PA0521		probable cytochrome c oxidase subunit	-3.13	0.0127235448	7.37	-1.65
PA0527	dnr	transcriptional regulator Dnr	4.92	0.0459309824	202.22	2.30
PA0528		probable transcriptional regulator	2.17	9.08E-06	55.55	1.12
PA0531		probable glutamine amidotransferase	-2.00	0.0010112774	65.44	-1.00
PA0535		probable transcriptional regulator	1.73	0.0287691515	153.01	0.79
PA0536		hypothetical protein	-1.53	0.0022264946	557.24	-0.62
PA0537		conserved hypothetical protein	-2.07	7.72E-08	573.47	-1.05
PA0538	dsbB	disulfide bond formation protein	-1.93	3.40E-06	103.29	-0.95
PA0540		hypothetical protein	-5.14	3.63E-06	57.33	-2.36
PA0541		hypothetical protein	2.65	7.63E-06	431.73	1.40
PA0545		hypothetical protein	2.04	0.0054837194	181.35	1.03
PA0546	metK	methionine adenosyltransferase	-1.88	5.57E-08	3269.67	-0.91
PA0547		probable transcriptional regulator	-2.09	0.0004895567	827.68	-1.06
PA0549		hypothetical protein	2.63	1.45E-08	360.52	1.40
PA0550		conserved hypothetical protein	-1.89	0.0004891635	39.02	-0.92
PA0551	epd	D-erythrose 4-phosphate dehydrogenase	1.98	3.49E-08	519.35	0.98
PA0552	pgk	phosphoglycerate kinase	1.70	0.0001543234	1226.81	0.77
PA0554		hypothetical protein	1.92	1.24E-16	499.72	0.94
PA0555	fda	fructose-1,6-bisphosphate aldolase	2.43	5.52E-36	4028.27	1.28
PA0556		hypothetical protein	4.21	4.81E-29	200.30	2.07
PA0557		hypothetical protein	-2.53	0.0098507126	27.74	-1.34
PA0559		conserved hypothetical protein	3.18	2.83E-14	206.82	1.67
PA0563		conserved hypothetical protein	1.85	0.0002497521	1402.95	0.89
PA0565		conserved hypothetical protein	-11.41	1.50E-15	89.16	-3.51
PA0566		hypothetical protein	-1.71	5.46E-05	92.34	-0.78
PA0567		conserved hypothetical protein	-11.42	1.29E-10	78.74	-3.51
PA0569		hypothetical protein	-1.85	4.76E-05	64.92	-0.89
PA0570		hypothetical protein	-1.93	0.0019785954	37.41	-0.95
PA0571		hypothetical protein	-2.79	4.00E-15	124.65	-1.48
PA0572		hypothetical protein	-50.53	2.20E-66	2143.48	-5.66
PA0575		conserved hypothetical protein	-7.14	2.42E-11	126.47	-2.84
PA0577	dnaG	DNA primase	2.66	3.70E-06	1919.53	1.41
PA0578		conserved hypothetical protein	5.25	6.22E-19	1168.83	2.39
PA0579	rpsU	30S ribosomal protein S21	3.13	1.46E-09	3399.53	1.65
PA0580	gcp	O-sialoglycoprotein endopeptidase	7.31	1.53E-65	1025.47	2.87
PA0582	folB	dihydroneopterin aldolase	7.56	2.70E-42	327.51	2.92
PA0583		hypothetical protein	10.08	3.66E-46	293.87	3.33
PA0585		hypothetical protein	-4.17	0.0004789704	39.49	-2.06
PA0586		conserved hypothetical protein	-59.19	1.19E-26	992.85	-5.89
PA0587		conserved hypothetical protein	-44.47	1.71E-25	970.09	-5.47
PA0588		conserved hypothetical protein	-29.42	5.65E-23	3891.71	-4.88
PA0591		conserved hypothetical protein	1.73	8.26E-08	266.46	0.79
PA0592	ksgA	rRNA (adenine-N6,N6)-dimethyltransferase	2.73	2.79E-11	322.73	1.45
PA0596		hypothetical protein	1.95	2.14E-09	465.05	0.96
PA0597		probable nucleotidyl transferase	2.31	1.80E-10	199.43	1.21
PA0598		hypothetical protein	1.95	3.99E-06	236.82	0.97
PA0599		hypothetical protein	-3.84	7.15E-28	121.30	-1.94
PA0602		probable binding protein component of ABC transporter	1.88	0.0004894012	392.72	0.91
PA0606	agtD	AgtD	-2.20	0.0153076749	68.90	-1.14
PA0607	rpe	ribulose-phosphate 3-epimerase	3.86	1.53E-14	563.67	1.95
PA0608		probable phosphoglycolate phosphatase	2.95	2.66E-07	354.04	1.56
PA0611	prtR	transcriptional regulator PrtR	-1.86	1.46E-06	249.97	-0.90
PA0614		hypothetical protein	-1.78	0.0039435633	190.22	-0.83
PA0615		hypothetical protein	-1.59	0.0012410315	366.63	-0.67
PA0617		probable bacteriophage protein	-1.94	1.60E-08	301.03	-0.95
PA0618		probable bacteriophage protein	-1.53	0.0004727461	623.57	-0.61
PA0619		probable bacteriophage protein	-1.79	9.02E-06	457.82	-0.84
PA0620		probable bacteriophage protein	-1.87	7.92E-07	1995.66	-0.90
PA0622		probable bacteriophage protein	-2.47	3.82E-08	2460.48	-1.30
PA0623		probable bacteriophage protein	-2.53	6.49E-08	928.11	-1.34
PA0624		hypothetical protein	-2.00	0.0001778031	535.06	-1.00
PA0633		hypothetical protein	-2.24	1.28E-09	1102.72	-1.16
PA0634		hypothetical protein	-2.08	4.78E-06	554.00	-1.05
PA0635		hypothetical protein	-2.01	1.40E-05	348.77	-1.00
PA0636		hypothetical protein	-1.86	1.05E-06	1367.49	-0.90
PA0638		probable bacteriophage protein	-2.11	0.0001298579	332.85	-1.07
PA0639		conserved hypothetical protein	-1.60	0.0098467791	342.25	-0.67
PA0640		probable bacteriophage protein	-1.65	0.0023843928	416.57	-0.72
PA0641		probable bacteriophage protein	-1.76	0.0001783862	1647.17	-0.81
PA0642		hypothetical protein	-1.72	0.0076509902	392.40	-0.78
PA0647		hypothetical protein	-2.13	3.09E-06	181.51	-1.09
PA0648		hypothetical protein	-2.21	2.86E-07	221.63	-1.14
PA0649	trpG	anthranilate synthase component II	4.09	1.67E-09	1072.26	2.03
PA0650	trpD	anthranilate phosphoribosyltransferase	2.58	2.33E-08	1469.42	1.37
PA0651	trpC	indole-3-glycerol-phosphate synthase	2.38	1.14E-06	985.13	1.25
PA0654	speD	S-adenosylmethionine decarboxylase proenzyme	3.78	1.89E-05	1214.55	1.92
PA0656		probable HIT family protein	-6.43	1.42E-10	108.08	-2.69
PA0657		probable ATPase	-2.10	7.83E-10	295.20	-1.07
PA0659		hypothetical protein	-1.52	0.0289733351	1089.03	-0.60
PA0660		hypothetical protein	-3.68	3.08E-11	623.27	-1.88
PA0661		conserved hypothetical protein	-1.71	0.0004830586	159.37	-0.77
PA0662	argC	N-acetyl-gamma-glutamyl-phosphate reductase	1.79	1.56E-10	747.23	0.84
PA0663		hypothetical protein	2.00	3.13E-09	380.46	1.00
PA0669		probable DNA polymerase alpha chain	-2.01	0.0004047265	55.09	-1.00
PA0673		hypothetical protein	-2.31	0.0019419641	18.95	-1.21
PA0674	vreA	VreA	6.04	3.07E-09	82.40	2.60
PA0675	vreI	ECF sigma factor, VreI	5.86	1.86E-12	41.62	2.55
PA0688	lapA	low-molecular-weight alkaline phosphatase A, LapA	-3.31	0.0005042522	9.56	-1.73
